Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Payment_Method,Order_Status,Customer_Name,City,Region,Membership_Type,Product_Name,Category,Unit_Price,Brand,Order_Month,Order_Month_Name,Order_Day,Order_Day_Name,Order_Year,Quantity_Category,Calculated_Value
O0051,2026-01-01,C008,P017,4,Net Banking,Delivered,Sara Ahmed,Hyderabad,South,Premium,Yoga Mat,Sports,899,FitLife,1,January,1,Thursday,2026,Medium,3596
O0091,2026-01-01,C002,P011,2,Credit Card,Delivered,Zoya Khan,Delhi,North,Regular,Air Fryer,Home & Kitchen,4999,CookSmart,1,January,1,Thursday,2026,Small,9998
O0022,2026-01-02,C023,P014,4,Net Banking,Delivered,Nikhil Sood,Chandigarh,North,Premium,Data Science Handbook,Books,899,DataPress,1,January,2,Friday,2026,Medium,3596
O0106,2026-01-02,C001,P009,1,Net Banking,Delivered,Aarav Sharma,Srinagar,North,Premium,Coffee Maker,Home & Kitchen,3499,HomeBrew,1,January,2,Friday,2026,Small,3499
O0076,2026-01-03,C019,P015,1,Debit Card,Delivered,Yusuf Dar,Srinagar,North,New,Machine Learning Basics,Books,999,AIPress,1,January,3,Saturday,2026,Small,999
O0108,2026-01-04,C006,P020,1,Net Banking,Delivered,Ishita Gupta,Bengaluru,South,Premium,Dumbbell Set,Sports,1999,StrongFit,1,January,4,Sunday,2026,Small,1999
O0041,2026-01-04,C008,P012,5,Cash on Delivery,Delivered,Sara Ahmed,Hyderabad,South,Premium,Water Bottle,Home & Kitchen,699,HydroLife,1,January,4,Sunday,2026,Large,3495
O0018,2026-01-05,C003,P011,4,Net Banking,Cancelled,Rohan Mehta,Mumbai,West,Premium,Air Fryer,Home & Kitchen,4999,CookSmart,1,January,5,Monday,2026,Medium,19996
O0104,2026-01-05,C011,P006,3,Debit Card,Shipped,Vivaan Kapoor,Jaipur,North,New,Hoodie,Clothing,1599,UrbanWear,1,January,5,Monday,2026,Medium,4797
O0110,2026-01-05,C007,P005,1,UPI,Delivered,Aditya Verma,Pune,West,Regular,Power Bank,Electronics,1199,VoltPlus,1,January,5,Monday,2026,Small,1199
O0028,2026-01-07,C006,P011,3,UPI,Delivered,Ishita Gupta,Bengaluru,South,Premium,Air Fryer,Home & Kitchen,4999,CookSmart,1,January,7,Wednesday,2026,Medium,14997
O0056,2026-01-08,C015,P018,3,Debit Card,Delivered,Karan Joshi,Chandigarh,North,Regular,Football,Sports,799,SportZone,1,January,8,Thursday,2026,Medium,2397
O0021,2026-01-09,C026,P019,1,Debit Card,Cancelled,Fatima Noor,Srinagar,North,Regular,Cricket Bat,Sports,2499,BatPro,1,January,9,Friday,2026,Small,2499
O0046,2026-01-09,C019,P012,2,Cash on Delivery,Delivered,Yusuf Dar,Srinagar,North,New,Water Bottle,Home & Kitchen,699,HydroLife,1,January,9,Friday,2026,Small,1398
O0043,2026-01-10,C003,P012,4,Net Banking,Delivered,Rohan Mehta,Mumbai,West,Premium,Water Bottle,Home & Kitchen,699,HydroLife,1,January,10,Saturday,2026,Medium,2796
O0027,2026-01-11,C002,P008,1,Cash on Delivery,Shipped,Zoya Khan,Delhi,North,Regular,Sneakers,Clothing,2999,StepUp,1,January,11,Sunday,2026,Small,2999
O0034,2026-01-13,C010,P020,5,Credit Card,Delivered,Mehak Bhat,Srinagar,North,Premium,Dumbbell Set,Sports,1999,StrongFit,1,January,13,Tuesday,2026,Large,9995
O0045,2026-01-14,C006,P017,1,Debit Card,Cancelled,Ishita Gupta,Bengaluru,South,Premium,Yoga Mat,Sports,899,FitLife,1,January,14,Wednesday,2026,Small,899
O0112,2026-01-15,C012,P006,4,UPI,Delivered,Aisha Mir,Delhi,North,Premium,Hoodie,Clothing,1599,UrbanWear,1,January,15,Thursday,2026,Medium,6396
O0029,2026-01-15,C005,P017,1,Cash on Delivery,Cancelled,Kabir Ali,Lucknow,North,New,Yoga Mat,Sports,899,FitLife,1,January,15,Thursday,2026,Small,899
O0079,2026-01-16,C021,P012,5,Debit Card,Delivered,Aman Kumar,Delhi,North,Regular,Water Bottle,Home & Kitchen,699,HydroLife,1,January,16,Friday,2026,Large,3495
O0094,2026-01-17,C011,P002,4,Net Banking,Cancelled,Vivaan Kapoor,Jaipur,North,New,Mechanical Keyboard,Electronics,2499,KeyPro,1,January,17,Saturday,2026,Medium,9996
O0099,2026-01-17,C010,P001,2,UPI,Shipped,Mehak Bhat,Srinagar,North,Premium,Wireless Headphones,Electronics,1499,SoundMax,1,January,17,Saturday,2026,Small,2998
O0081,2026-01-19,C022,P018,2,Credit Card,Delivered,Alina Shah,Pune,West,New,Football,Sports,799,SportZone,1,January,19,Monday,2026,Small,1598
